Data;ipca
01/2007;0,44
02/2007;0,44
03/2007;0,37
04/2007;0,25
05/2007;0,28
06/2007;0,28
07/2007;0,24
08/2007;0,47
09/2007;0,18
10/2007;0,30
11/2007;0,38
12/2007;0,74
01/2008;0,54
02/2008;0,49
03/2008;0,48
04/2008;0,55
05/2008;0,79
06/2008;0,74
07/2008;0,53
08/2008;0,28
09/2008;0,26
10/2008;0,45
11/2008;0,36
12/2008;0,28
01/2009;0,48
02/2009;0,55
03/2009;0,20
04/2009;0,48
05/2009;0,47
06/2009;0,36
07/2009;0,24
08/2009;0,15
09/2009;0,24
10/2009;0,28
11/2009;0,41
12/2009;0,37
01/2010;0,75
02/2010;0,78
03/2010;0,52
04/2010;0,57
05/2010;0,43
06/2010;0,00
07/2010;0,01
08/2010;0,04
09/2010;0,45
10/2010;0,75
11/2010;0,83
12/2010;0,63
01/2011;0,83
02/2011;0,80
03/2011;0,79
04/2011;0,77
05/2011;0,47
06/2011;0,15
07/2011;0,16
08/2011;0,37
09/2011;0,53
10/2011;0,43
11/2011;0,52
12/2011;0,50
01/2012;0,56
02/2012;0,45
03/2012;0,21
04/2012;0,64
05/2012;0,36
06/2012;0,08
07/2012;0,43
08/2012;0,41
09/2012;0,57
10/2012;0,59
11/2012;0,60
12/2012;0,79
01/2013;0,86
02/2013;0,60
03/2013;0,47
04/2013;0,55
05/2013;0,37
06/2013;0,26
07/2013;0,03
08/2013;0,24
09/2013;0,35
10/2013;0,57
11/2013;0,54
12/2013;0,92
01/2014;0,55
02/2014;0,69
03/2014;0,92
04/2014;0,67
05/2014;0,46
06/2014;0,40
07/2014;0,01
08/2014;0,25
09/2014;0,57
10/2014;0,42
11/2014;0,51
12/2014;0,78
01/2015;1,24
02/2015;1,22
03/2015;1,32
04/2015;0,71
05/2015;0,74
06/2015;0,79
07/2015;0,62
08/2015;0,22
09/2015;0,54
10/2015;0,82
11/2015;1,01
12/2015;0,96
01/2016;1,27
02/2016;0,90
03/2016;0,43
04/2016;0,61
05/2016;0,78
06/2016;0,35
07/2016;0,52
08/2016;0,44
09/2016;0,08
10/2016;0,26
11/2016;0,18
12/2016;0,30
01/2017;0,38
02/2017;0,33
03/2017;0,25
04/2017;0,14
05/2017;0,31
06/2017;-0,23
07/2017;0,24
08/2017;0,19
09/2017;0,16
10/2017;0,42
11/2017;0,28
12/2017;0,44
01/2018;0,29
02/2018;0,32
03/2018;0,09
04/2018;0,22
05/2018;0,40
06/2018;1,26
07/2018;0,33
08/2018;-0,09
09/2018;0,48
10/2018;0,45
11/2018;-0,21
12/2018;0,15
01/2019;0,32
02/2019;0,43
03/2019;0,75
04/2019;0,57
05/2019;0,13
06/2019;0,01
07/2019;0,19
08/2019;0,11
09/2019;-0,04
10/2019;0,10
11/2019;0,51
12/2019;1,15
01/2020;0,21
02/2020;0,25
03/2020;0,07
04/2020;-0,31
05/2020;-0,38
06/2020;0,26
07/2020;0,36
08/2020;0,24
09/2020;0,64
10/2020;0,86
11/2020;0,89
12/2020;1,35
01/2021;0,25
02/2021;0,86
03/2021;0,93
04/2021;0,31
05/2021;0,83
06/2021;0,53
07/2021;0,96
08/2021;0,87
09/2021;1,16
10/2021;1,25
11/2021;0,95
12/2021;0,73
01/2022;0,54
02/2022;1,01
03/2022;1,62
04/2022;1,06
05/2022;0,47
06/2022;0,67
07/2022;-0,68
08/2022;-0,36
09/2022;-0,29
10/2022;0,59
11/2022;0,41
12/2022;0,62
01/2023;0,53
02/2023;0,84
03/2023;0,71
04/2023;0,61
05/2023;0,23
06/2023;-0,08
07/2023;0,12
08/2023;0,23
09/2023;0,26
10/2023;0,24
11/2023;0,28
12/2023;0,56
01/2024;0,42
02/2024;0,83
03/2024;0,16
04/2024;0,38
05/2024;0,46
06/2024;0,21
07/2024;0,38
08/2024;-0,02
09/2024;0,44
10/2024;0,56
11/2024;0,39
12/2024;0,52
01/2025;0,16
02/2025;1,31
03/2025;0,56
04/2025;0,43
05/2025;0,26
Fonte;IBGE
